Date,Close
12/11/2015,36.94
12/14/2015,37.39
12/15/2015,37.17
12/16/2015,37.9
12/17/2015,37.47
12/18/2015,36.97
12/21/2015,37.39
12/22/2015,37.5
12/23/2015,37.52
12/24/2015,37.42
12/28/2015,38.13
12/29/2015,38.83
12/30/2015,38.55
12/31/2015,37.94
1/4/2016,37.09
1/5/2016,37.13
1/6/2016,37.18
1/7/2016,36.32
1/8/2016,35.72
1/11/2016,35.8
1/12/2016,36.3
1/13/2016,35.03
1/14/2016,35.74
1/15/2016,34.72
1/19/2016,35.09
1/20/2016,34.92
1/21/2016,35.33
1/22/2016,36.26
1/25/2016,35.58
1/26/2016,35.65
1/27/2016,35
1/28/2016,36.55
1/29/2016,37.15
2/1/2016,37.6
2/2/2016,38.23
2/3/2016,36.35
2/4/2016,35.4
2/5/2016,34.18
2/8/2016,34.14
2/9/2016,33.91
2/10/2016,34.21
2/11/2016,34.16
2/12/2016,34.12
2/16/2016,34.55
2/17/2016,35.42
2/18/2016,34.87
2/19/2016,35.05
2/22/2016,35.32
2/23/2016,34.79
2/24/2016,34.98
2/25/2016,35.29
2/26/2016,35.25
2/29/2016,34.89
3/1/2016,35.94
3/2/2016,35.94
3/3/2016,35.62
3/4/2016,35.54
3/7/2016,34.76
3/8/2016,34.7
3/9/2016,35.26
3/10/2016,35.64
3/11/2016,36.34
3/14/2016,36.52
3/15/2016,36.42
3/16/2016,36.8
3/17/2016,36.89
3/18/2016,36.88
3/21/2016,37.1
3/22/2016,37.04
3/23/2016,36.9
3/24/2016,36.77
3/28/2016,36.68
3/29/2016,37.24
3/30/2016,37.53
3/31/2016,37.25
4/1/2016,37.5
4/4/2016,37.26
4/5/2016,36.89
4/6/2016,37.28
4/7/2016,37.01
4/8/2016,36.96
4/11/2016,36.81
4/12/2016,37.15
4/13/2016,37.59
4/14/2016,37.66
4/15/2016,37.95
4/18/2016,38.33
4/19/2016,37.7
4/20/2016,37.63
4/21/2016,37.96
4/22/2016,35.94
4/25/2016,36.16
4/26/2016,35.41
4/27/2016,35.29
4/28/2016,34.55
4/29/2016,34.65
5/2/2016,34.91
5/3/2016,34.62
5/4/2016,34.78
5/5/2016,35.07
5/6/2016,35.56
5/9/2016,35.65
5/10/2016,36.16
5/11/2016,35.76
5/12/2016,35.67
5/13/2016,35.54
5/16/2016,35.82
5/17/2016,35.31
5/18/2016,35.33
5/19/2016,35.02
5/20/2016,35.49
5/23/2016,35.21
5/24/2016,36
5/25/2016,36.26
5/26/2016,36.21
5/27/2016,36.63
5/31/2016,36.79
6/1/2016,36.71
6/2/2016,36.52
6/3/2016,36.12
6/6/2016,35.83
6/7/2016,35.83
6/8/2016,36.41
6/9/2016,36.43
6/10/2016,35.97
6/13/2016,35.92
6/14/2016,35.91
6/15/2016,35.95
6/16/2016,35.52
6/17/2016,34.59
6/20/2016,34.69
6/21/2016,34.8
6/22/2016,34.87
6/23/2016,35.09
6/24/2016,33.76
6/27/2016,33.41
6/28/2016,34
6/29/2016,34.21
6/30/2016,34.6
7/1/2016,34.96
7/5/2016,34.72
7/6/2016,34.89
7/7/2016,34.77
7/8/2016,35.28
7/11/2016,35.75
7/12/2016,36.03
7/13/2016,35.85
7/14/2016,36.05
7/15/2016,35.99
7/18/2016,36.69
7/19/2016,36.85
7/20/2016,37.06
7/21/2016,36.93
7/22/2016,37.14
7/25/2016,36.99
7/26/2016,36.92
7/27/2016,37.09
7/28/2016,37.3
7/29/2016,38.44
8/1/2016,38.64
8/2/2016,38.55
8/3/2016,38.66
8/4/2016,38.58
8/5/2016,39.11
8/8/2016,39.09
8/9/2016,39.21
8/10/2016,39.23
8/11/2016,39.24
8/12/2016,39.16
8/15/2016,39.12
8/16/2016,38.86
8/17/2016,39
8/18/2016,38.88
8/19/2016,38.77
8/22/2016,38.61
8/23/2016,38.6
8/24/2016,38.48
8/25/2016,38.47
8/26/2016,38.48
8/29/2016,38.61
8/30/2016,38.45
8/31/2016,38.35
9/1/2016,38.44
9/2/2016,38.57
9/6/2016,39
9/7/2016,39.02
9/8/2016,38.77
9/9/2016,37.98
9/12/2016,38.45
9/13/2016,37.98
9/14/2016,38.12
9/15/2016,38.59
9/16/2016,38.44
9/19/2016,38.28
9/20/2016,38.57
9/21/2016,38.81
9/22/2016,39.36
9/23/2016,39.35
9/26/2016,38.71
9/27/2016,39.15
9/28/2016,39.08
9/29/2016,38.75
9/30/2016,38.86
10/3/2016,38.63
10/4/2016,38.82
10/5/2016,38.82
10/6/2016,38.84
10/7/2016,38.75
10/10/2016,39.3
10/11/2016,39.15
10/12/2016,39.31
10/13/2016,38.91
10/14/2016,38.93
10/17/2016,39
10/18/2016,39.76
10/19/2016,40.08
10/20/2016,39.85
10/21/2016,39.97
10/24/2016,40.66
10/25/2016,40.38
10/26/2016,39.95
10/27/2016,39.77
10/28/2016,39.77
10/31/2016,39.23
11/1/2016,39.18
11/2/2016,38.44
11/3/2016,38.11
11/4/2016,38.1
11/7/2016,39.13
11/8/2016,39.53
11/9/2016,39.27
11/10/2016,38.13
11/11/2016,37.7
11/14/2016,36.8
11/15/2016,37.92
11/16/2016,38.22
11/17/2016,38.56
11/18/2016,38.03
11/21/2016,38.46
11/22/2016,38.41
